source_path,category,authors,license,fetched_from
body/bodies/male,body,"bluecarrot16; JaidynReiman; Benjamin K. Smith (BenCreating); Evert; Eliza Wyatt (ElizaWy); TheraHedwig; MuffinElZangano; Durrani; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0 / CC-BY-SA 3.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
head/heads/human/male,head,"bluecarrot16; Benjamin K. Smith (BenCreating); Stephen Challener (Redshrike)","OGA-BY 3.0 / CC-BY-SA 3.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
eyes/human/adult/default (brown),eyes,"Universal-LPC contributors (base human eyes; see the generator's CREDITS.csv)","OGA-BY 3.0 / CC-BY-SA 3.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
hair/messy2/adult,hair,"JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
torso/armour/leather/male,torso,"Johannes Sjölund (wulax); bluecarrot16; JaidynReiman","OGA-BY 3.0 / CC-BY-SA 3.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
legs/pants/male (teal),legs,"bluecarrot16; JaidynReiman; ElizaWy; Matthew Krohn (makrohn); Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0 / CC-BY-SA 3.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
feet/shoes/basic/male (brown),feet,"JaidynReiman; bluecarrot16; Johannes Sjölund (wulax)","OGA-BY 3.0 / CC-BY-SA 3.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
